text,label,template_id
"Hello, your recent expense claim needs one more approval step before it can be reimbursed. You can complete it at http://micros0ft-securelogin.ru/auth. Thank you, Expenses Team.",phish,phish_soft_4
"Hello Nisha,
Security alert from our own IT team: we detected a sign-in to your account from a new device in the Bengaluru office. If that was you, you can ignore this message. If not, call the internal helpdesk on extension 4412 - do not reply to this email with any details.
Cheers,
Priya",legit,legit_hard_3
"Good morning Meera,
Hi team, please review the attached draft of the design document and add comments by Friday. I would especially like feedback on the caching section.
Kind regards,
Tom",legit,legit_plain_5
"Netflix: your mailbox storage is full and messages are being rejected. Dear Customer, re-enter your card details to reactivate your account. http://bit.ly/2xKp9Lq Your account will be locked within 24 hours. Customer Support, Netflix",phish,phish_loud_6
"Dear Meera,
Reminder: your subscription renews on January 27 and the card on file will be charged. If you want to cancel, you can do that in account settings. This is a routine notice and requires no confirmation.
Thanks,
Ravi",legit,legit_hard_5
"Google Account: your account has been temporarily suspended. Dear Customer, download the attached form and return it urgently. http://192.168.44.9/login.php Your account will be locked within 24 hours. Security Team, Google Account",phish,phish_loud_1
"Amazon: your payment could not be processed. Dear Customer, update your billing information right away. http://secure-verify-login.tk/account Access will be revoked immediately if unverified. Account Services, Amazon",phish,phish_loud_2
"Hi Ravi,
Reminder: your subscription renews on November 27 and the card on file will be charged. If you want to cancel, you can do that in account settings. This is a routine notice and requires no confirmation.
Thanks,
Tom",legit,legit_hard_5
Please update the beneficiary bank details for our vendor payment run. The new IBAN is below. Process the remittance immediately and confirm. Treat as confidential. Anita Sharma,phish,bec_3
"Hi Alex,
Your parcel #27299 is out for delivery today. The courier will not ask for any fee on the doorstep, and we will not email you a customs payment link. You can track progress from the orders page after signing in normally.
Kind regards,
Sam",legit,legit_hard_8
"Hi Nisha,
Thank you for attending the workshop on April 6. Slides and the recording are linked in the shared drive folder we set up for the cohort.
Best regards,
Alex",legit,legit_plain_6
"Hi Alex,
Your account statement for September is ready. To view it, open your banking app or type our address into your browser yourself. We do not include sign-in links in statements. No action is needed if the balance looks right.
Regards,
Sam",legit,legit_hard_2
"HDFC Bank: we could not verify your recent transaction. Dear Customer, update your billing information right away. http://micros0ft-securelogin.ru/auth Failure to act will result in permanent account closure. IT Helpdesk, HDFC Bank",phish,phish_loud_8
"Hi Nisha,
Security alert from our own IT team: we detected a sign-in to your account from a new device in the Bengaluru office. If that was you, you can ignore this message. If not, call the internal helpdesk on extension 4412 - do not reply to this email with any details.
Kind regards,
Ravi",legit,legit_hard_3
Please update the beneficiary bank details for our vendor payment run. The new IBAN is below. Process the remittance immediately and confirm. Treat as confidential. Anita Sharma,phish,bec_3
"Good morning Alex,
Reminder: the project stand-up moves to 10:30 on Thursday this week because of the maintenance window. Calendar invites have been updated.
Kind regards,
Ravi",legit,legit_plain_2
"Hi Ravi,
Your subscription renews on April 15. The receipt will be emailed to you. You can manage or cancel the plan from your account settings page.
Thanks,
Meera",legit,legit_plain_11
"Instagram: we detected unusual sign-in activity on your account. Dear Customer, confirm your details within 24 hours to avoid suspension. http://192.168.44.9/login.php Access will be revoked immediately if unverified. Customer Support, Instagram",phish,phish_loud_0
"Hi Nisha,
Hi Nisha, I reviewed the pull request and left a few minor comments. Nothing blocking - happy to approve once the tests pass.
Kind regards,
Tom",legit,legit_plain_8
"Good morning Tom,
Your support ticket #96363 has been resolved. If the issue reappears, reply to this email and it will reopen the same ticket for our team.
Cheers,
Priya",legit,legit_plain_7
"Hello Priya,
Scheduled notice from IT: your network password will expire in 14 days. Please change it using Ctrl+Alt+Del on your work machine, or in person at the service desk. We will never email you a link to reset it, and we will never ask for your current password.
Regards,
Alex",legit,legit_hard_1
"Netflix: we detected unusual sign-in activity on your account. Dear Customer, download the attached form and return it urgently. http://192.168.44.9/login.php Billing Department, Netflix",phish,phish_loud_0
"SBI NetBanking: your password will expire in 24 hours. Dear Customer, re-enter your card details to reactivate your account. http://paypa1-support.com/verify Customer Support, SBI NetBanking",phish,phish_loud_3
"Hello, I hope you are well. Our records show a small discrepancy in your billing profile from last month. When you have a moment, could you review the details at http://bit.ly/2xKp9Lq and confirm they are correct? Thank you, Accounts.",phish,phish_soft_0
"Dear Ravi,
Security alert from our own IT team: we detected a sign-in to your account from a new device in the Bengaluru office. If that was you, you can ignore this message. If not, call the internal helpdesk on extension 4412 - do not reply to this email with any details.
Thanks,
Priya",legit,legit_hard_3
"Dear Priya,
Scheduled notice from IT: your network password will expire in 14 days. Please change it using Ctrl+Alt+Del on your work machine, or in person at the service desk. We will never email you a link to reset it, and we will never ask for your current password.
Kind regards,
Sam",legit,legit_hard_1
"PayPal: your parcel is being held pending a customs fee. Dear Customer, update your billing information right away. http://tinyurl.com/y8xk2mz Failure to act will result in permanent account closure. Account Services, PayPal",phish,phish_loud_5
"Apple: your account has been temporarily suspended. Dear Customer, validate your account using the link below. http://secure-verify-login.tk/account Access will be revoked immediately if unverified. Billing Department, Apple",phish,phish_loud_1
"Good morning Tom,
Notice: scheduled maintenance this Saturday from 02:00 to 04:00. Some services may be briefly unavailable. No customer action is required.
Regards,
Ravi",legit,legit_plain_14
"Hello Alex,
Payroll notice: bank detail changes for this month's run must be submitted through the HR self-service portal by June 22. Requests sent over email cannot be actioned - this is deliberate, to prevent payment fraud.
Thanks,
Nisha",legit,legit_hard_6
"Hello Alex,
Following up on our conversation - I have booked the meeting room for Tuesday afternoon and invited the vendor's technical contact.
Regards,
Nisha",legit,legit_plain_13
"Hello Priya,
Urgent but internal: the staging database is locked and the release is blocked. Meera, could you look at the migration job when you get a moment? Nothing customer-facing is affected.
Kind regards,
Arjun",legit,legit_hard_9
"Hello Meera,
Reminder: the project stand-up moves to 10:30 on Thursday this week because of the maintenance window. Calendar invites have been updated.
Regards,
Ravi",legit,legit_plain_2
"Hello Sam,
Scheduled notice from IT: your network password will expire in 14 days. Please change it using Ctrl+Alt+Del on your work machine, or in person at the service desk. We will never email you a link to reset it, and we will never ask for your current password.
Kind regards,
Alex",legit,legit_hard_1
Priya Nair here. I am in a meeting and cannot talk. Please arrange payment of the attached invoice to the updated bank details below before end of day. Do not discuss this with anyone else.,phish,bec_1
"Hello, I hope you are well. Our records show a small discrepancy in your billing profile from last month. When you have a moment, could you review the details at http://192.168.44.9/login.php and confirm they are correct? Thank you, Accounts.",phish,phish_soft_0
"Hello, I hope you are well. Our records show a small discrepancy in your billing profile from last month. When you have a moment, could you review the details at http://secure-verify-login.tk/account and confirm they are correct? Thank you, Accounts.",phish,phish_soft_0
Please update the beneficiary bank details for our vendor payment run. The new IBAN is below. Process the remittance immediately and confirm. Treat as confidential. Karen Fisher,phish,bec_3
"Hi Arjun,
Reminder: the project stand-up moves to 10:30 on Thursday this week because of the maintenance window. Calendar invites have been updated.
Cheers,
Arjun",legit,legit_plain_2
"Hello Nisha,
Your parcel #84302 is out for delivery today. The courier will not ask for any fee on the doorstep, and we will not email you a customs payment link. You can track progress from the orders page after signing in normally.
Thanks,
Tom",legit,legit_hard_8
"HDFC Bank: your password will expire in 24 hours. Dear Customer, confirm your details within 24 hours to avoid suspension. http://hdfc-netbanking.online/signin Failure to act will result in permanent account closure. Security Team, HDFC Bank",phish,phish_loud_3
"Good morning, following our note last week regarding your mailbox quota, the storage upgrade is now available for your account. You can apply it here: http://tinyurl.com/y8xk2mz. Regards, IT Services.",phish,phish_soft_1
Priya Nair here. I am in a meeting and cannot talk. Please arrange payment of the attached invoice to the updated bank details below before end of day. Do not discuss this with anyone else.,phish,bec_1
"Google Account: your mailbox storage is full and messages are being rejected. Dear Customer, log in now using the secure link below to restore access. http://bit.ly/2xKp9Lq Legal action may follow if this is ignored. Customer Support, Google Account",phish,phish_loud_6
"Dear Tom,
Reminder: your subscription renews on March 14 and the card on file will be charged. If you want to cancel, you can do that in account settings. This is a routine notice and requires no confirmation.
Kind regards,
Tom",legit,legit_hard_5
"Good morning Arjun,
Thank you for attending the workshop on April 7. Slides and the recording are linked in the shared drive folder we set up for the cohort.
Cheers,
Nisha",legit,legit_plain_6
"Hello, I hope you are well. Our records show a small discrepancy in your billing profile from last month. When you have a moment, could you review the details at http://appleid-verify.support/login and confirm they are correct? Thank you, Accounts.",phish,phish_soft_0
